S.no,Review
2654,I love it.
2655,"As Always, easy to set up"
2656,It works OK. This speaker quality is not much better than my iPhone X. I would spend the extra money to get the full-size echo which has great sound quality.
2657,"Very intelligent, love the songs ...."
2658,Review
2659,"I love my Echo Dot!  The price I paid during Prime Day was comparable to buying a new digital clock with the bells and whistles, but this does so much more.  I can play music, set alarms, call friends, play games, set timers...the list goes on and on.  Definitely worth the money."
2660,Sound is terrible. Cannot pair with echo to play simultaneously.  Must upgrade to amazon music if you want to play more than one device at a time.
2661,Easy installation and set up. Better sound from the Echo Dot Smart speaker. Very satisified with purchase.
2662,"I am spoiled by one downstairs...so got this one for upstairs to listen to music , etc. while I walked on the treadmill."
2663, 
2664,The commands Alexa requires are too specific.  I find Google home to be much more flexible in figuring out what I'm asking for.
2665,HANDY AS HELL 10/10 RECOMMEND
2666,I am having real difficulty working with the Echo Dot. Alexi is not very smart. 9 out of 10 questions I have asked I get the &#34;I'm not sure&#34;  Half the time I am still asking the question and Alexi is saying &#34;I'm not sure&#34;. The music is great and works well for that. All in All so far it's been a very frustrating experience.
2667,"We are still in the discovery phase, but so far we are enjoying the smart home features we have installed."
2668,Totally gets out sense of humour
2669,We put one in the bedroom.  It plays music and tells us the weather.  It also is an alarm to wake us up in the morning.  It is better than a clock radio.  It will play any type of music you want from radio stations or your own favorites.  It can even tell jokes.  I don't know how I got along without it before now.  Amazing.
2670,"I like the Echo, but not sure about the Dot.  I use it a lot for music and Audio books.The sound quality of this smaller Echo is nowhere near the quality of the full sized model.  I haven't decided if I'll keep it or not!"
2671,LOVE it. I got this for my boyfriend for his birthday and his kids have a blast asking Alexa all kinds of questions and having her tell silly jokes. We love it.
2672,Better sound.
2673,"Got this for my 2nd Echo in the house, I already have the regular Echo.  The Echo Dot was easy to set up but the sound is not enjoyable, wishing I would have just gone with another regular Echo solely based on sound."
2674,"I was really happy with my original echo so i thought I'd get an echo dot to use in my bedroom. I was really disappointed in the audio quality so I connected an external speaker via bluetooth. The audio was much better but I started having problems with it loosing connection with the wifi, presumably due to interference from the bluetooth. Then  I connected a speaker via the auxiliary jack. when i did that, the auxiliary jack picked up interference from the wifi and I was woken up in the middle of the night by a horrible buzzing sound. im hoping Amazon will take this thing back and give me a good deal on an echo spot which I hope will be a better nightstand device."
2675,"Listens well, does way more than expected, love her!"
2676,"We are still testing this one out and so far, we like it. I was very hesitant about putting a voice activated device in our home and this would be our first. Unfortunately, it sometimes gets our WiFi light bulbs mixed up and won't turn them on but we've been able to manage and fix it. I mean, it's convenient, especially for those unable to reach to turn off lights or electronics that you could hook up to the Dot. I do like that it plays music and has reminders, alarms, etc - I'm just still getting used to the fact that The Man is always listening now."
2677,"Works great.Having fun playing music,checking weather,a king questions."
2678,Small convenient and dependable. This dot is a cutie and Alexa does the job you ask.My only issue is the fidelity which is to be expected in a such a small speaker
2679,Alexa is perfect for people like me living alone. At least I have someone to talk to.. to keep my sanity. 😂 Though I wish it has a powerful speaker and no need to connect it to bluetooth speakers.
2680,small footprint.  nice clarity.
2681,Easy set up
2682,"Great addition to my Alexa base. Using it in my guest bedroom for music, clock and info.Dot speaker is not as strong as the base but it's a great value"
2683,I had an Alexia built into my thermostat that just didn't work very well. I had to be standing right next to it for it to hear me and music played very choppy on it. I decided to try the Echo Dot since it was on Prime Day. I have not been disappointed! It hears me just fine and music plays with out any problem. I really like that I can Bluetooth connect to my Bose Speaker for quality sound.
2684,I connected it to my whole home sound system to play prime music which my Google Home mini can't do.  It works well.
2685,this is so much fun to play with - I just ask to set an alarm to wake in the morning and when it goes off I tell Alexa to turn it of - Alexa learns from the questions I ask. SHe will play music that you ask her to play if its the amazon music domain. If I wake up in the middle of the night I do not have to turn on a light I just ask alexa what time is it. When I want the current weather she tells me. Ask her what going on in the city she knows. Call a friend she will dial ( I haven't used that one yet but she said she could if its in y contacts.
2686,Easy to set up and does everything it’s a poster. Despite its small size the speakers are adequate. Understands instructions from across the room. Very happy with the purchase.
2687,"A great product for the price, works well!!"
2688,Perfect for a home office
2689,Weak sound. Compared to the Google Home Mini the sound is bad. Also you need Prime to have a small selection of music and need prime music to play everything. Also if you get two you need prime family music to play music on both. I think it's lame that you need a family plan to use multiple devices.
2690,It does what it's suppose to do great product.
2691,I love this item and being able to hear any kind of music.  I enjoyed it so much that I ordered another.
2692,Love the dot
2693,Great item.  I'm so glad I made the purchase and on Prime day.
2694,"I'm still learning how to use it.  I figured out it can read my kindle books to me, which is a real bonus."
2695,Love having one in our bedroom and in the kitchen. Great to drop in on family around the house.
2696,"So far so good.  Not to tech savvy so, I'm still trying to figure out what I can do with it but, it was easy to set up and so far easy to use.  Lots of apps that it can use.  I will have to play with it some more but its fun to have."
2697,Echo Dot responds to us when we aren't even talking to it. I've unplugged it. It feels like it's &#34;spying&#34; on us.
2698,NOT CONNECTED TO MY PHONE PLAYLIST :(
2699,"I had put this off for awhile but finally got around to buying 3 of them for my home. My wife is legally blind and cannot use the computer. This has been a Godsend, 100%. We have the Amazon music for her and now she can listen to music, check the weather, get phone numbers, make calls, etc., etc.. We are still learning but I tell you, this is absolutely amazing. I purchased 4 more for my extended family and the grandchildren absolutely love playing their music on Alexa. With the wifi and direct cable capability, the speaker/stereo options are there for the choosing. This is well worth the money. You won't regret this at all!"
2700,Perfect!  Fast shipment and packaging.  Worked as intended.
2701,Alexa seems to get dumber and less useful all the time
2702,Love it!
2703,I'm addicted to this thing.
2704,I love my Dot and am hoping to add a couple more around the apartment. The only reason I didn't give it 5 stars is because I wish the speaker would be just a little better. I know Amazon probably wanted to keep costs down for this item but I really like to play music around the apartment when I am busy doing things so if they would have added a speaker with just a little more wattage and bass response they would have something great to put in the bathroom or kitchen where there might not be a lot of space for a full sized Echo. I would have been willing to pay 10 to 20 dollars more if it had a better speaker. Oh well it is what it is and I still love it. I'm just going to have to find a Bluetooth speaker that sounds good but doesn't take up a whole lot of space.
2705,So far all.i can say is I love it
2706,"Love my dots.  Easy to use.  I have two plus the Echo Spot.  One of my favorite features is the ability to listen to music ... AMAZON, IHeart Radio, Pandora."
2707,Great to play music throughout the house. Great and easily fits in my decor of my home
2708,"I'm obsessed with Alexa. She tells me the weather every morning, she can play games (we love the guess the song one!) and the one we have upstairs can turn off our TV downstairs which is so cool because why walk down the stairs if Alexa will do it for you????"
2709,Works well. Just disappointed with the speaker quality. But hooked it up to old computer speakers.
2710,"Easy setup, easy use, work with other smart products, always learning what it can do"
2711,We have so much fun with this!  So easy to use that even my four year old loves talking to Alexa!!
2712,"I love my new Echo Dot! Right now, I mainly use it to play music at night, but it gets the job done."
2713,"We love this thing! I wish I would have gotten it sooner. You will certainly want to go through the settings and lock it down if you have kids, but it is a great additional for even unexpected things like helping the kids with homework. There are loads of skills. I am very happy with this purchase, especially since I got it on prime day for almost half price."
2714,Super easy to hook up and program. I use the music feature the most but I love how I can set reminders from my phone and my Echo will remind me at the set time. It’s great for my news updates too!
2715,It works just like my other Dots.
2716,Set up was simple. It recognizes my voice well. It seams very intuitive. I am enjoying its ease of use.
2717,The only negative we have on this product is the terrible sound quality.  A massive difference from the Alexa.  Which to us was a big reason we wanted to purchase this.Won’t be buying another until the speaker and sound quality can improve.
2718,I was hoping the cord was white also. Otherwise it is fine.
2719,"I like that she has the ability to do multiple different things like create a to do list, set and alarm, play any song I can think of and much more. I wish the sound could be a tad louder."
2720,"Too soon, I'm still learning what I can do with it."
2721,Enjoying it and still learning all the commands.  Ran into one frustrating issue.  It was not user friendly when trying to set up voice recognition for a household.
2722,I love the option where u can play music everywhere in the house when you have multiple devices
2723,Works great!
2724,I like almost everything
2725,"AMAZING. It has helped me become better organized, gives me traffic updates, weather updates, and helps me maintain a good, fast morning routine."
2726,"My kids love Alexa... Skills are amazing, would like to see her get a little smarter answering basic questions"
2727,Great. Definitely gets a little old after a while but for $30 I can't really regret it at all. Love having it hooked up to my speakers via bluetooth and waking up to The Smiths.
2728,Love it. Added it to an upstairs bedroom
2729,Got to love Alexa she does everything around our house
2730,Works great and easy to set up!
2731,My 3rd echo device. Very easy to set up. Works perfectly.
2732,Easy to set up and start using.. works as advertised.
2733, 
2734,Love our little dot. I don’t know what the original larger Alexa can do that the dot cannot do but we are pleased with our dots capabilities.
2735,Really like it
2736,"Works as expected. This is our fourth one, our son loves it in his room. Easy to set an alarm and he can play music through it."
2737,Love it
2738,Dislike the volume. It does not sound loud enough.
2739,Love Alexa!!  I own 2 and gave one for a gift which was a huge hit!
2740,as expected
2741,I didn’t order it
2742,"I love this technology. I'm older, but this is so easy to set up and use. I have the dot in my bedroom and use it for everything I use my echo for which is in the living room."
2743,Use as my 3rd dot. Bought so my husband would be able to contact someone if he falls and doesn't have access to phone.
2744,Amazing product. Still learnimg all the things it can do
2745,"Does what I expected, and more."
2746,The product sounded the same as the emoji speaker from five below my sister has ... and even that one has Bluetooth and doesn’t need to be plugged in. The only good thing about this is that you can speak to it.
2747,I have a friend now.
2748,It’s easier to do things with it
2749,Good device
2750,"Overall love it. There are just some commands which aren't effective. It may be part user error or ""Alexa"" becoming accustom to what is being asked."
2751,"these are additional alexa based devices to make access better from other parts  of our homes rather than trying to shout questions or instructions through out the house, lol. we wouldn't be without alexa for the variety of functions that she performs."
2752,"Works great, love the fact you can play the same music on a group of devices."
2753,"I love it, it is just what I thought it would be!!!  I'm addicted!"
2754,"Works beautifully, excellent sound."
2755,Still learning everything she can do.  Good for a room.  Volume is pretty good without an additional speaker
2756,neat tool we enjoy it with the family
2757,Easy to connect and the skills created for our Echo 2nd Gen worked fine with the Dot.
2758,"I live alone, this is the best companion!"
2759,Easy to set up and connect with smart devices. Just what I needed!
2760,"Love it! I personally prefer Spotify music, so it’s great that I was able to set that as default. There’s not a day that goes by without music in our home. Also, the reason we got it is to keep our pup calm when we leave, so we tell Alexa to play some classical music or jazz and it works wonders. He’s a lot more calmer and doesn’t bark when we lock the door and start walking away. It’s a must have!"
2761,Love it.  It works great.  Alexa still has some problems  but it is getting better every day.  I'm not an expert but I think the sound quality is fine.  Not perfect but good.
2762,This  is my second Echo to purchase -- the price was so cheap -- I'm seriously thinking of buying 2 more -- I use &#34;Alexa&#34; for everything -- it's the next best thing to the internet  :-*
2763,I love it. bought one for my daughter and one for myself
2764, 
2765,It is just not as loud as I thought it was going to be.
2766,I enjoy it. Still discovering new uses.
2767,Being able to add speakers is a plus. I take it on my deck when I am outside. Just love it. I have my big Alexia in my bedroom
2768,"excellent device , works great, having no problems or concerns"
2769,It's pretty fun and nice to have a speaker that responds to my questions but doesn't understand my commands some of the time.
2770, 
2771,I like the hands free operation vs the Tap. We use both for controlling smart plugs.
2772,I dislike that it confuses my requests all the time.
2773, 
2774,"Love my Alexa! Actually have 3 throughout the house. Favorite function is lists. Great for time management and if course, music."
2775,This product is easy to use and very entertaining.  I have yet to hook it up to my TV or lights but look forward to doing so.
2776, 
2777,works great but speaker is not the good for music. Will need to get a Bluetooth speaker.
2778,Outstanding product - easy to use.  works great
2779,We have six of these throughout our home and they are great.  There are times when music or talking happens randomly that may be from sensitive listening.  There should be more options to change the name of the engagement command &#34;Alexa&#34; or &#34;Computer&#34; are a little annoying.  More colors then black and white would also be a good thing.
2780,Use the product for music and it’s great!
2781,Easy to set-up and to use.
2782,It works great!!
2783,I like having more Alexa devices in my house and the sales price on amazon prime day was too tempting.
2784,PHENOMENAL
2785,I loved it does exactly what it says
2786,I used it to control my smart home devices. Works great.
2787,Very convenient
2788,"Este producto llegó y a la semana se quedó sin olor, perdió toda su escencia, huele solo a alcohol"
2789,Easy to set up Ready to use in minutes.
2790,Barry
2791, 
2792,My three year old loves it.  Good for doing basic household tasks.  We're going to add a few smart outlets and bulbs.
2793,Awesome device wish I bought one ages ago.
2794,love it
2795,"Perfect for kids, adults and everyone in between!!"
2796,"Listening to music, searching locations, checking time, looking up weather. There are many more task to learn. It was simple to set up."
2797,"I do love these things, i have them running my entire home, TV, all my lights, my thermostat, my front door dead bolt, the cameras... and i love listening to npr. these things are well worth the value and they really shine once you stat adding smart devices and you can control your entire home like its right out of star trek.... I named mine computer to get the feel... but its amazing what you can do with these devices and smart systems."
2798,"Only complaint I have is that the sound quality isn't great. I mostly use it for commands though, and I have another dot hooked up to my stereo system to play music through. I have a couple friends that have a dot and don't mind the audio quality, but if you're bothered by that kind of thing I'd go with the full size echo or make sure you hook the do up to some larger speakers."
2799,Good
2800,Nice little unit  no issues
2801,"The echo dot was easy to set up and use. It helps provide music, etc. to small spaces and was just what I was looking for."
2802,"I set her up to play through our home theater system. So fat we are just using her for weather forecasts, cooking timers, and we really enjoy the music!"
2803,Small device that my kids like to ask questions. Very handy friendly interactive
2804,beyond awesome
2805,I like that it responds every time. It was easy to set up.  I'm still learning what I can do with it. I may like a better speaker more.
2806,Family loved it!
2807, 
2808,I like how it will connect to bluetooth without an adapter like the Google. Only reason for 4 stars is volume level without external speaker. Easy to use.
2809,Echos are great I have a few of them through out our home .  All in voice range to ask a question. Say a command to turn lights on or off. Or my favorite is play music all though the house.
2810,"Love it , this time it's a gift  for friend"
2811,"Fantastic product, I use it as a smart home hub and to play music through speakers mainly, the customizable routines are so nice and very easy to program"
2812,Great
2813,"I am quite disappointed by this product.There clearly is a bug: half of the time I ask for a newsflash, two second after it starts, the whole thing stops and reboots for a couple of minutes. Same goes when I ask to play the radio. Also, many times it get confused when I ask to switch of &#34;the lights&#34;...as other items are also named the same, which is not true. Clearly no AI or natural language, very 'beta' stage still for me. Not impressed!"
2814,Love this thing works great and kids love it to
2815,Love it.. makes the simple things in life simpler
2816,"I am really enjoying the many different features on my Alexa, especially listening to music and audio books"
2817,Echo Dot is a wonderful invention. We love it. Alexa is so smart.
2818,"Alarm and music, information the weather"
2819,Love it! Very helpful
2820,Good but it’s pretty low
2821,"Alarm, calendar, reminders"
2822,"I have had the echo dot for about two weeks and am having fun with it. I set morning alarms, check the weather, have Alexa play various music (I bought inexpensive speakers to connect for better sound), and I'm learning her skills. A little tricky to connect to wifi initially, but after some trial and error it connected, and has stayed connected. So far, super satisfied. Will be buying one for my mother and one for my office."
2823,I AM COMPLETELY IN LOVE. DOES ABSOLUTELY EVERYTHING AND IS SO AMAZING AND GREAT
2824,Nope. Still a lot to be improved. For most of the things we ask.. It says.. Hmmmm.. I dont know that.
2825,The speaker could be better...
2826,I love it!!
2827,3rd Dot. Love it!
2828,works like any other one!
2829,Love my new Alexa. She works great so far.
2830,I bought the echo dot while it was on sale for prime day and I was excited when it came in the next day. I set it up immediately and everything worked perfectly fine. The set up was easy and straight forward which I really appreciated because I am terrible with technology. The only reason why I am not satisfied with my purchase is because of the fact that I can't use the Echo Dot for more than 15 minutes without it disconnecting from the internet. I am connected to both 2.4GHZ and 5GHZ wifi links and neither works. It's very frustrating because I am not getting my use out of the Echo Dot and I really wish I could. If any one has had the same problems or has any solution please let me know!
2831,I got this for dad on father's Day!  He was tickled with it!
2832,Nice product
2833,Love my echo. Love playing music in my room
2834,"Still getting used to Alexa, but I think she's a keeper!"
2835,Works good for the most part. You ask it some questions and she says she doesn’t know. I thought she was supposed to know everything
2836,my new best friend :)
2837,Absolutely love it!!!!
2838,I liked linking two more rooms in the home
2839,I LOVE ALEXA!! SHE ROCKS!!!
2840,"I had some trouble with my echo dot when I first got it because of internet connection issues. After doing research online I saw from some other people that they had trouble with the 2nd generation Echo Dot. However, the same weekend I took a trip and brought my Echo Dot along to the hotel where it seemed to work just fine. Now back home, the internet connection has seemed to have gotten through it's little rough patch and I haven't had any problems since. So, if you are having connection issues with an Echo Dot then it is probably the internet and not the device."
2841,Small size works great in our sunroom.
2842,I like it and it’s helful but it can only do certain thongs that is supported by amazon.
2843,"I reached out to Amazon, because the device wanted to sync my phone number but it would not allow because it said my number was already in use.  Customer service couldn't help they basically told me to contact Sprint to assist.  So Echo does the bare minimum without access to my phone for set up, so its kind of pointless to have and pay for."
2844,"It won’t work as a blue tooth speaker with my tv,it connects but won’t work"
2845,"I've only got to use it for a couple of weeks before having to go into the hospital, but had good time with it for the short time I did use it. It was fun trying to use Alexa"
2846,"This was an impulse buy but turns out I really enjoy my new dot. My grands love requesting songs and playing games. I like listening to my audible selection, keeping up with my to do lists and discovering new Alexa skills. Fun and practical, my echo dot has been a surprisingly welcome addition to my home."
2847,Great product at a great price.
2848,My son loves his Echo Dot.
2849,Love these.  Great in the bathroom to listen to the news during showering.  Or listen to CNN live with Serius SM.
2850,I like it alot. I connected it so I can play my Pandora and I asked about the weather & time every morning. I got rid of my old fashioned digitol clock because I can have my music play Unlimited on this. I'm going to ask it about vacations and a few other things once I get more comfortable with it. Definitely worth the money.
2851,It plays music that I request.
2852,I didn't like that almost everytime i asked Alexa a question she would say i dont know that or i havent learned that.
2853,Luv it.  It's a great product.
2854,"What can I say. Well, I’m a  paranoid IT person of 30 years but got hooked on the idea of cloud based home control. So yes I love my echo stuff but, I did create a isolated VLAN on my home network to run the devices including the cheap ones that require you to sign up on some questionable website and download their app. Be carful with these people!  Entering your Wi-Fi password on a site that’s not vetted and your location when the app askes is not a good thing. Try to stay with devices that  work directly with the Alexa hub with no third-party app, Amazon has more control of these types of devices and how the  sensitive information is handled."
2855,Great product
2856,"Very helpful for playing music, setting alarms, and talking to you when you are lonely."
2857,"Easy to set up, can control Kasa smart plugs no problem.  Even the kids have figured stuff out that I would not have asked Alexa, like telling jokes and singing. The Alexa app controls my custom spark plug and my cloud cam."
2858,"I love having Alexa around the house. My favorite features are her timers, alarms, and music. Especially her library of sleep sounds. I got this product as a gift for my kids, and they love her too. She is great for reading time, and timing 30 minutes for it.The only thing I really don't like, is that she HAS to be plugged in to an outlet to function. No ifs ands, or buts. I get why, but it is minorly inconvenient, as I have to move her from room to room, or purchase more. Lol"
2859,"Alarm,bed time story, universal"
2860,I am in love with alexa
2861,Its was easy to set up
2862, 
2863,Works better than anticipated. This thing is awesome.
2864,Great product
2865,Really like it
2866,I like that it respond most of my comands. Great product.
2867,The volume is very low
2868,so far i am liking it although i am probably not using it to the full capasity
2869,"My new best friend!! I'm a little behind the times I've never had anything like this, another alexa or google home, so to me this is a super amazing useful tool. I use it to play sleep sounds to sleep. I use it for my amazon audible books. Set alarms, reminders, receive notifications, play games with her. Have her tell me a short story lol. It's pretty fun. I know some people complained about the speaker I'm not sure why. I'm sure if you have an open concept house all to yourself and want to blast music no this might not blast it around loud enough. But I rent a room and in my bedroom it's perfect I don't have any problems with the speaker. Love everything about it!"
2870,Wish volume was capable of going louder
2871,I love it
2872,Best purchase this year.
2873,"I love these, I have 2 dots and one echo. For a medium size rooms these are loud enough without external speakers although I do use external for the dots."
2874,I really love my dots! So awesome how it’s connects all my rooms. But like you’ve read with other reviews they are definitely lower in volume. Which I’m sure if I connected it to speaker or another device it would be great. But as a stand alone the volume is just ok. Definitely not like my tall echo. And the dots don’t pick up voice as good as my tall echo.Still totally love them and would recommend 100%
2875,its okay but keeps dropping wifi!
2876,Kids love it! I love it!
2877, 
2878,Love my echo dot easy to use and set up
2879,love it as I do all of my echos
2880,Excellent product !!
2881,"I love being able to control lights, doors and music."
2882,Fun To interact with
2883,Very satisfied with the product
2884,"We have 3 echos now, even one in the barn, great idea for when I am working with my horse, can still get news flashes & my music!"
2885,"I bought this for my healing room.  I play continuous spa like music. Although Alexa knows the type of music needed, the device does not deliver quality sound it sounds muffled.  I didn't know I had to buy speakers too."
2886,Like having the music where ever I am.
2887,"Hard to hear, had to blue tooth it to a better speaker."
2888,"No problems, works as expected. Could have a better speaker."
2889,I love it...... I want to get another one very  very  soon
2890,Great to have along with the Echo
2891,this is my 2nd echo dot and it is working just as i want it to.  i have it in the bedroom and i par it with a small blue tooth speaker.  last nite i went to sleep with sounds of a thunderstorm as provided by my echo dot.  i am planning to have the dot turn my bedroom lamps on when i receive the smart plugs that i ordered.
2892,"daughter wanted a white boombox, nothing good out for 11 yr old.  decided to go echo dot for most any request + white BT good speaker.  she loved the gift and nice option for many things on the internet."
2893,Cheap and cheap sound.
2894,This is pretty cool
2895,"Some times Alexa is a little &#34;thick&#34;, but mostly good!"
2896,Love it!! Don’t know what took me so long to get one — and don’t know why I didn’t get two on Amazon Prime Day!
2897,Up dated news
2898,Works like a champ.
2899,"Clear sound, great alarm clock, plays my music.  What else can you ask for.  Oh yeah, you can order what you need."
2900,Love that you can use your cell phone to call Echo or Dot. You can also use Echo and Dot as intercoms.
2901,love it...just like the other 4 I own.
2902,"Great price.  I love my echo dot,"
2903,Excellent. Bought another one yesterday!
2904,works great
2905,Love this!!! My daughter enjoys telling Alexa what to do. Haha
2906,"Purchased this for a discount on Prime Day to insert into a portable Bluetooth speaker made specifically to work with Echo Dot. Works great, love it! Now I can bring Alexa out onto the patio with me, and I mostly use it for music. This is our 3rd Echo product and we love them!"
2907,Just got my third one. Love them
2908,The ease in installing
2909,"Un excelente equipo inteligente al estar conectado al internet nos provee de múltiples funciones tales como, el tiempo,hora,información de cualquier estudio que estés realizando atrás vez del internet."
2910,"For the price, the product is nice quality and has a few nice features. So definitely no complaints there. The reason why I only gave it 3 stars is because the echo dot is not what I thought it was going to be so that may just be buyer error. First, I didn’t know that the product has to be plugged in at all times to work. So I really don’t like that it’s not a stand alone device. Also, the speaker is not very loud so if you are buying it as a Bluetooth speaker, don’t. Lastly, I’m sure the echo dot can do a lot but I haven’t quite figured out how to use it fully but it just kind of seems like an unnecessary device to own, plus setting it up was awful. I would definitely save the money and buy the nicer one that is actually “Alexa”."
2911,"I love this product so far only because of the few things I can do with it...such as set a timer, a reminder, play music and games. I don't like that to get the full enjoyment from it that you have to purchase so many things. It was also very difficult to set up. The directions made it sound as simple as one, two, three but they forgot about step four, five and six. I was almost ready to send to back.The app is extremely slow and it took hours to get this thing set up. However depending on what you are going to be using it for I think it's an ok item."
2912,Love the echo dot it’s amaxing!!!
2913,"I like to use it for listening to podcasts.  I like to set up the greeting in the morning to tell me what's new.  The one thing I don't like was getting it to recognize the radio station I wanted to listen to.  I finally got it working, but had to work through the bugs."
2914,"Just like it's big sister, the Echo, only smaller, with slightly less audio fidelity, but much lower price (on amazon prime day:-)Used in another room to add Alexa to an additional room."
2915,It does everything  the big guy does
2916,Great product - understands my accent!
2917,Love it... can't stop using it..
2918,Really like the availability to get instant music throughout the house.
2919, 
2920,"very handy in the kitchen, sets timer and gives me extra help on setting oven temps."
2921,Cool little speaker..I love her alarms and connected it to my speakers and it sounds great!!
2922,It is s great tool helping with information.
2923,Used twice not working!!!!!!!
2924,Awesome piece of technology that has simplified my life. Great purchase.
2925,"I jumped on the bandwagon by purchasing an Echo.  I feel like there was a struggle getting connected and then three days later, the device is sharing news and weather.  Now we use it some, but have not tapped in to all options.  Still testing it out."
2926,Love Alexa. Love the Echo Dot but we have trouble with the speakers when using the intercom.
2927,"Love it , Now if I can only find the correct smart (links)Plug to connect this too"
2928,Work pretty well
2929,Still learning it
2930,"We really love our Echo Dot, we can get questions answered right away and play any music we can think of."
2931,Usual reliable Alexa
2932,Speaker could be better qualty
2933,This device does not interact with my home filled with Apple devices.  How disappointing!
2934,Have the echo wanted something smaller in another room  they work together great
2935,"Love it!! It is so handy and easy to use. Got it for my classroom, but I many need to just get another one."
2936,Very pleased
2937,Primarily for music in our bedroom.  I wish the speaker had better fidelity.
2938,Nice
2939,"Music, weather, time."
2940,"Great, love it!"
2941,Not all that happy. The speaker isn’t great and for some reason a lot of times when I play music it will start to make some weird noise and just stop. My son has a google home and it is much better
2942,Not impressed
2943,I really like it .
2944,it takes a while to learn the uses and I'm still learning!
2945,Alexa is phenomenal!
2946,"When you think about it this really doesn’t do much. Play music, answer stupid questions, finally it was able to hook up to thermostat. I can see why price is dropping like a rock."
2947,"The Echo Dot (2nd Generation) Smart Speaker is very compound in size, however it  projects very good sound. It also has a port in which you can connect an external speaker  for greater projection of sound. I also like it size because it's not awkward, and it doesn't take up a lot of space. It works great with the Alexa App. I also think the size is great for college students who live in dorm rooms with small limited spacing."
2948,I use the echo dot several different ways in my home. I use it downstairs to control lighting. I also take it out on my deck to stream music to a Bluetooth speaker. It works great for what I need.
2949,I have an echo but wanted a dot for my bedroom. It was even easier to set up than my original echo.
2950,"Makes turning on and off things in the house so simple. Great for little updates as well, like checking the weather and such."
2951,"Great product, fun to use!!"
2952,Needs to be smarter
2953,I really enjoy being able to just make a request  for my favorite music and it happens I have no complaints at this time...
2954,Love it. Works great making my home a smarthome
2955,I really like the echo dot. It’s amazing to be able to set an alarm or timer just by talking to the echo dot.
2956,Convenient and fun.
2957,It's alright....
2958,this is my first Alexa enabled device and so far its lived up to its reputation!
2959,"I love searching the Alexa skill shop on the app. Useful things like having Alexa turn my lights on and off, listening to news updates every morning. And fun stuff like telling Alexa to make the Star Trek red alert nois. Or playing song quiz with friends."
2960,Second dot.
2961,Son loves it.
2962,I love how compact it is.
2963,"This worked well for about 6 months but then stopped connecting to the internet (wifi) and none of the trouble shooting efforts worked.  Amazon customer service couldn't help further and told me warranty was only 3 months, which was very disappointing, so they weren't willing to replace."
2964,"It talks to me, plays the type of music i want to listen to, and even turns off when I ask if to."
2965,Ask it to play Motown radio on Pandora and it keeps asking if I want to add a salsa station. Motown isn’t close to salsa phonetically.
2966,"Love it, we are still learning the capabilities, having a lot of fun."
2967,Easy to set up. Still trying to get it to connect to a light bulb smart plug. Grandkids think Alex is cool!
2968,I love it! I use it for everything. It’s a part of my daily routine
2969,"The Alexa program is great, but the quality is not the best. It could definitely be louder."
2970,Overall I like this. Though Siri on my phone can do more for what I need as I don’t have a “smart home” and don’t intend to make it one. But it’s fun and I use it for music and to have it read me my audible books.
2971,Alexa is pretty basic and almost like a toy. Shouldn't have been released into the market without proper development. Speech recognition fails to understand basic American and British Accent.The music it can play is very restrictive. Speech isn't refined in a way that we understand a (almost a) human is speaking. Linking to Youtube via amazon web services doesn't work.
2972,Set up is so easy.
2973,Love it
2974,I'm amazed with the alarm. I tell Alexa to wake me up to a particular song and it does.  I love the play list if music. Not sure if i don't keep prime if music will still be available. However i did love the fact Amazon gave me music free for 3 months...they should have given prime free for 3 months as well.
2975,I love all of the things that it can do. I can play with it and learn from it.
2976,"Been debating on getting one, but am happy I did! Still more to explore. Thanks!"
2977,"I'm finding more and more uses for this all the time. It keeps me informed with news and weather, I can get a daily Bible verse, and have it play music. New skills are added all the time. The future is here!"
2978,I love to watch my wife argue with Alexa.  I woke up one night listening to Alexa talking to my cell phone. ????
2979, 
2980, 
2981,Gave as a gift - they loved it.
2982,The Echo Dot was everything that I expected and more.
2983,I love this its super convenient and makes my life a little easier
2984,"I love my echo dot. Has many features and works great.The only thing I don't like about it, is that I can't play my iMusic on it. I'm going to have to pay for a Spotify or Amazon music account."
2985,Its Great. Lots Of Fun!!
2986,"Easy setup. Alexa needs a lot of training,"
2987,Third echo dot purchased. Love the product.
2988,I like the compact structure of the Dot. The sound is a little too low.
2989,"Handy if you don't expect much out of it much ""dumber"" than the assistant in my phone."
2990,It's easy to set up and use. There are new features and skills added all the time.
2991,Love the product but dislike that I can’t sync up my Apple Music for Alexa to play
2992,Have had for just one week so far and I can say it is a blast to have.
2993,love it
2994,Works like a charm.
2995,Good speaker for bedroom or office
2996,Small speaker tin sound. Great with good Bluetooth speaker.
2997,Fun and  information.  No dislikes  so far !! Like the convenience!!
2998,It was easy to set up and affordable! Love it!
2999,I love that I can shut the microphone off at night so my children can’t talk to it at bed time and she has an automatic sleep timer for their lullaby music. Not sure how I survived with out this for so long.
3000,Echo Dot and related devices are the best thing to come in a long time.
3001,"The sound quality wasn’t great, but it was inexpensive"
3002,Works great... bought it for my shop so that it is like an intercom to the house.
3003,It isn’t bad for what it is. Have issues with it actually playing what I want. Getting it use iHeartRadio properly by playing the station I want is a challenge but it’s not bad for the sale price I paid.
3004,It’s great but sound quality is very low
3005,I love it.
3006,"As Always, easy to set up"
